codigo_ibge,qtd_familias,valor_total_repassado,valor_medio_repassado,data,categoria_demanda
110001,1677,1132797.0,679.54,2024-12-01,Média demanda
110002,7710,5247594.0,683.9,2024-12-01,Alta demanda
110003,307,207117.0,674.65,2024-12-01,Baixa demanda
110004,6066,4041564.0,666.7,2024-12-01,Alta demanda
110005,1213,849202.0,702.4,2024-12-01,Média demanda
110006,516,345589.0,672.35,2024-12-01,Média demanda
110007,300,194549.0,648.5,2024-12-01,Baixa demanda
110008,2052,1466670.0,715.45,2024-12-01,Média demanda
110009,1699,1086949.0,641.65,2024-12-01,Média demanda
110010,5159,3949470.0,768.83,2024-12-01,Alta demanda
110011,3639,2377231.0,654.52,2024-12-01,Alta demanda
110012,8069,5460177.0,678.11,2024-12-01,Alta demanda
110013,2846,1925809.0,677.15,2024-12-01,Média demanda
110014,1549,975697.0,630.7,2024-12-01,Média demanda
110015,2473,1643577.0,667.85,2024-12-01,Média demanda
110018,1502,994841.0,664.56,2024-12-01,Média demanda
110020,50335,34690900.0,690.54,2024-12-01,Alta demanda
110025,2164,1417073.0,656.66,2024-12-01,Média demanda
110026,217,153521.0,707.47,2024-12-01,Baixa demanda
110028,2144,1423306.0,664.79,2024-12-01,Média demanda
110029,597,402517.0,674.23,2024-12-01,Média demanda
110030,5097,3470152.0,683.1,2024-12-01,Alta demanda
110032,1165,770890.0,663.42,2024-12-01,Média demanda
110033,2776,2025363.0,733.56,2024-12-01,Média demanda
110034,1485,1004631.0,678.35,2024-12-01,Média demanda
110037,397,241918.0,610.9,2024-12-01,Baixa demanda
110040,1259,854976.0,679.09,2024-12-01,Média demanda
110045,2061,1409669.0,686.64,2024-12-01,Média demanda
110050,487,321239.0,660.99,2024-12-01,Baixa demanda
110060,331,223956.0,678.65,2024-12-01,Baixa demanda
110070,579,386893.0,669.37,2024-12-01,Média demanda
110080,3742,2555684.0,694.1,2024-12-01,Alta demanda
110090,261,178951.0,685.64,2024-12-01,Baixa demanda
110092,869,628582.0,723.34,2024-12-01,Média demanda
110094,1250,850387.0,680.31,2024-12-01,Média demanda
110100,958,637551.0,665.5,2024-12-01,Média demanda
110110,772,540072.0,700.48,2024-12-01,Média demanda
110120,652,445547.0,683.35,2024-12-01,Média demanda
110130,821,557976.0,679.63,2024-12-01,Média demanda
110140,1468,1004338.0,684.15,2024-12-01,Média demanda
110143,752,522939.0,695.4,2024-12-01,Média demanda
110145,401,270321.0,674.12,2024-12-01,Baixa demanda
110146,265,190594.0,721.95,2024-12-01,Baixa demanda
110147,304,199875.0,659.65,2024-12-01,Baixa demanda
110148,209,137198.0,656.45,2024-12-01,Baixa demanda
110149,1425,977731.0,688.54,2024-12-01,Média demanda
110150,907,617589.0,680.91,2024-12-01,Média demanda
110155,376,246138.0,656.37,2024-12-01,Baixa demanda
110160,558,375743.0,673.37,2024-12-01,Média demanda
110170,1027,690143.0,672.65,2024-12-01,Média demanda
110175,1093,743091.0,679.86,2024-12-01,Média demanda
110180,510,339936.0,666.54,2024-12-01,Baixa demanda
120001,2374,1648030.0,695.08,2024-12-01,Média demanda
120005,1845,1514102.0,820.65,2024-12-01,Média demanda
120010,4855,3455848.0,711.81,2024-12-01,Alta demanda
120013,1989,1456322.0,732.19,2024-12-01,Média demanda
120017,2017,1427510.0,709.85,2024-12-01,Média demanda
120020,14937,10985931.0,737.16,2024-12-01,Alta demanda
120025,2680,1903302.0,710.45,2024-12-01,Média demanda
120030,5876,4627226.0,789.22,2024-12-01,Alta demanda
120032,1808,1624299.0,898.4,2024-12-01,Média demanda
120033,4556,3371075.0,739.92,2024-12-01,Alta demanda
120034,2651,2010643.0,760.45,2024-12-01,Média demanda
120035,3908,3074207.0,786.85,2024-12-01,Alta demanda
120038,2501,1751424.0,700.29,2024-12-01,Média demanda
120039,2132,1766828.0,828.72,2024-12-01,Média demanda
120040,45736,31126330.0,682.22,2024-12-01,Alta demanda
120042,3191,2414613.0,756.69,2024-12-01,Média demanda
120043,1244,1058304.0,878.26,2024-12-01,Média demanda
120045,3557,2459066.0,691.92,2024-12-01,Alta demanda
120050,9393,6811267.0,725.22,2024-12-01,Alta demanda
120060,9481,7563361.0,798.16,2024-12-01,Alta demanda
120070,2967,2122807.0,715.47,2024-12-01,Média demanda
120080,4247,3009061.0,708.51,2024-12-01,Alta demanda
130002,3494,2687736.0,770.35,2024-12-01,Alta demanda
130006,2442,1969267.0,807.08,2024-12-01,Média demanda
130008,2328,1819974.0,782.45,2024-12-01,Média demanda
130010,3859,2772024.0,719.82,2024-12-01,Alta demanda
130014,2348,1644455.0,702.76,2024-12-01,Média demanda
130020,2448,1971922.0,810.16,2024-12-01,Média demanda
130030,16201,11381107.0,702.8,2024-12-01,Alta demanda
130040,3472,2735925.0,788.0,2024-12-01,Alta demanda
130050,6360,5141795.0,812.55,2024-12-01,Alta demanda
130060,7309,6139232.0,840.07,2024-12-01,Alta demanda
130063,5280,4217973.0,799.46,2024-12-01,Alta demanda
130068,3726,2839522.0,763.52,2024-12-01,Alta demanda
130070,5983,4332683.0,724.53,2024-12-01,Alta demanda
130080,7015,5305380.0,756.61,2024-12-01,Alta demanda
130083,2796,2095998.0,750.18,2024-12-01,Média demanda
130090,3626,2598851.0,716.73,2024-12-01,Alta demanda
130100,6372,4742528.0,744.51,2024-12-01,Alta demanda
130110,5835,4190723.0,718.7,2024-12-01,Alta demanda
130115,4428,3223612.0,728.83,2024-12-01,Alta demanda
